,comment,rating,label,comment_new
16,Thời gian giao hàng nhanh nhân viên tư vấn nhiệt tình mình rất hài lòng về shop,5,1,thời hàng chóng tư_vấn nhiệt_tình hài_lòng cửa tiệm
17,"Ưng nhé TUYỂN KĨ SƯ  : CƠ KHÍ, Ô TÔ, IT,  HOÁ HỌC  làm việc tại  CHIBA, GIÙ, OKAYAMA .
🍃Nội dung : sản xuất linh kiện điện tử cho hãng xe ô tô TOYOTA
🍃Lương 20 man chưa tính làm thêm .
🍃Tăng lương dựa theo năng lực 
🍃 Hưởng bảo hiểm theo quy định  của NHẬT 
🍃Công việc nghỉ: chủ Nhật và lịch đỏ",5,1,ưng tuyển kĩ_sư cơ_khí ô_tô hóa_học làm_việc chiba giù nội phân sản_xuất kiện điện_tử hãng ô_tô lương đàn_ông lương dựa năng_lực hưởng bảo_hiểm_định nhật công_việc nghỉ chủ_nhật lịch đỏ
18,"Sản phẩm tốt chất lượng, áo dày ấm, tất dày dặn mang thể thao hay đi hàng ngày đều ok, giá lại hợp lý nữa. Shop phục vụ tốt, CSKH tốt. Nói chung là rất ưng luôn ý.",5,1,sản_phẩm tốt chất_lượng áo dày ấm tất dày_dặn_thể cỏ_khô hàng giá hợp_lý cửa tiệm phục_vụ tốt tốt ưng
19,", Chất lượng sản phẩm tuyệt vời, Rất đáng tiền",5,1,chất_lượng sản_phẩm tuyệt_vời tiền
20,Hàng OK lắm Giao hàng Chuẩn ,5,1,hàng đồng_ý lắm hàng chuẩn
21,"Hàng đẹp Shops tư vẫn sz nhận dc hàng mặc vừa luôn.nhưng vải hơi mỏng,vẫn cho Shops 5 sao.shop tư vẫn nhiệt tình............................................",5,1,hàng đẹp cửa_hàng tư sz hàng mặc vải hơi mỏng cửa_hàng shop tư
22,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Rất đáng tiền, Thời gian giao hàng rất nhanh",5,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp tiền thời hàng chóng
23,"Sản phẩm tuyệt vời , khá là ưng ý , chất lượng 👍🏻👍🏻👍🏻",5,1,sản_phẩm tuyệt_vời ưng_ý chất_lượng thích thích thích
24,", Chất lượng sản phẩm tuyệt vời, Shop phục vụ rất tốt, Rất đáng tiền",5,1,chất_lượng sản_phẩm tuyệt_vời cửa tiệm phục_vụ tốt tiền
25,Săn sale rẻ. Hàng đẹp. Ck mình 1m72 nặng 52kg mặc vừa in. Tks shop,5,1,săn giảm_giá rẻ hàng đẹp chồng mặc cửa tiệm
26,Sản phẩm khá đẹp. Giao hàng cũng nhanh,5,1,sản_phẩm đẹp hàng chóng
27,Hàng ổn áp lắm. Hình ảnh mang tính chất nhận xu,5,1,hàng ổn_áp lắm hình_ảnh tính_chất
31,Hình ảnh đẹp lắm quần mìn nè chats lượng thì oke. Không biết mặc đến bao lâu. Có hiệu ck nữa thì tuyệt với luôn á ,5,1,hình_ảnh đẹp lắm quần mìn chats_lượng mặc hiệu chồng tuyệt
32,Sản phẩm phu hợp giá tiền. Đánh giá 5***********************,5,1,sản_phẩm phú hợp giá tiền
33,Sản phẩm như hình chất lượng tốt.  Shop dễ thương sẽ ung hộ tiếp lần sau. ,5,1,sản_phẩm hình chất_lượng tốt cửa tiệm dễ_thương hộ tiếp
37,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt",5,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp cửa tiệm phục_vụ tốt
38,"Giao hàng nhanh, đúng, đủ số lượng, chất lượng ok đảm bảo tốt.",5,1,hàng số_lượng chất_lượng đồng_ý tốt
40,"Đẹp, màu xám hơi dày nhưng có vẻ mặc vẫn mát .ổn
Jdkdvdjdkkskdkdj",5,1,đẹp màu xám hơi dày mặc mát ổn
41,"Đẹp , xịn , mặc dù đã đặt XL nhưng vẫn không rộng lắm , nếu muốn mặc rộng rộng thì nên đặt size lớn 1 chút , nhiều chỉ thừa ....",5,1,đẹp xịn mặc_dù lỗi không_rộng lắm mặc rộng rộng kích_thước
42,Vải có giãn tốt form quần chuẩn đẹp shop bán hàng chuẩn chất lg ok cho shop 5 saooooo,5,1,vải giãn tốt form quần chuẩn đẹp cửa tiệm hàng chuẩn chất đồng_ý cửa tiệm
43,"Quần okila nha nên mua nha mọi người, ny mình mặc hơi rộng chút nhưng ksao nè",5,1,quần okila yêu mặc hơi rộng
44,"Áo đẹp giống hình, màu đen nha do chụp chá nắng quá.",5,1,áo đẹp hình màu đen chụp chá nắng
46,"Rách nhỏ ko to như ảnh 
Quần mặc khá co giãn
Vừa ngườiiiiii
Sẽ ủng hộ shop tiếp",5,1,rách không_đến ảnh quần mặc giãn ngườiiiiii ủng_hộ cửa tiệm tiếp
47,Áo của mall vẫn chất lượng 😛😛😛😛,5,1,áo
50,", Chất lượng sản phẩm tuyệt vời, Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh",5,1,chất_lượng sản_phẩm tuyệt_vời cửa tiệm phục_vụ tốt thời hàng chóng
51,"Hàng vải và lớp lót trong OK.
Điểm trừ là k có dây rằng cố định giữa 2 lớp  với nhau.
Khá là to. Bạn nào muốn mua nên chọn đúng Size nha. Thank",5,1,hàng vải lớp lót trừ dây cố_định lớp kích_thước
52,Đẹp lắm nha mn mua 2 lần lần cx đẹp ý❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5,1,đẹp lắm đẹp
54,Đóng gói cẩn thận. Rộng rãi nên mua nha....T Mua lần 2 tại shop này rr tặng shop 5* nha,5,1,đóng gói rộng_rãi cửa tiệm rr tặng cửa tiệm
55,"Shop ship hàng nhanh, đóng gói cẩn thận, hàng form khá đẹp nhưng chất vải hơi mỏng!!!!",5,1,cửa tiệm hàng đóng_gói cẩn_thận hàng form đẹp chất vải hơi mỏng
56,", Shop phục vụ rất tốt, Rất đáng tiền",5,1,cửa tiệm phục_vụ tốt tiền
58,"Sản phẩm giống như đã mô tả, đóng gói chắc chắn, thời gian giao hàng nhanh",5,1,sản_phẩm mô_tả đóng_gói thời hàng
60,"Vải kaki giảng nha 
Có thể mặc rộng hoặc ôm chân 
Có điều sản phẩm màu dễ ra màu nên lưu ý giặc đồ riêng nha ",5,1,vải kaki giảng mặc rộng ôm_chân sản_phẩm màu màu lưu_ý giặc đồ
61,"Đồ đẹp, giao hàng nhanh. Chủ shop tư vấn nhiệt tình, nên mua nha mọi người,.",5,1,đồ đẹp hàng chủ cửa tiệm tư_vấn nhiệt_tình
67,"Áo đẹp ạ còn thơm nữa, shop gửi kèm luôn cả túi shopping cưng xỉuuuuu",5,1,áo đẹp thơm cửa tiệm gửi kèm túi sắm cưng
68,Sản phẩm khá to so với tôi,5,1,sản_phẩm
69,Thun mát giao hàng nhanh. Mình mua 4 cái mặt cho đã. Mà cái màu trắng dễ thấy bên trong 😁😁😁,5,1,mát hàng mặt màu trắng
71,Quần rất ok đẹp cảm ơn shop,5,1,quần đồng_ý đẹp cửa tiệm
72,"Sản phẩm quá tuyệt vời rất đẹp và đáng để mua, đóng gói sản phẩm tạm ổn,  giao hàng nhanh. Nói chung là okie 🙆 
(♡ω♡ ) ~♪",5,1,sản_phẩm tuyệt_vời đẹp đóng_gói sản_phẩm tạm ổn hàng
74,"Hình ảnh minh hoạ. Chất siêu đẹp , mát và dày dặn. Đáng lẽ phải tiền trăm ý 🥰",5,1,hình_ảnh chất đẹp mát lẽ tiền cười
75,"Mình đã nhận được hàng rồi nhé shop, chất rất ok , thoáng mát, dễ chịu ❤️",5,1,hàng shop chất đồng_ý thoáng mát dễ_chịu yêu
76,"Giao hàng nhanh, shop tư vấn nhiệt tình, dễ thương, đóng gói sản phẩm chắc chắn",5,1,hàng cửa tiệm tư_vấn nhiệt_tình dễ_thương đóng_gói sản_phẩm
77,", Chất lượng sản phẩm tuyệt vời, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh",5,1,chất_lượng sản_phẩm tuyệt_vời cửa tiệm phục_vụ tốt tiền thời hàng chóng
81,"Chức năng của nhà nước là phương hướng hoạt động chủ yếu của Nhà nước thể hiện bản chất, vai trò, sứ mệnh xã hội và mục tiêu của Nhà nước. Bài viết phân tích, làm rõ khái niệm, cách hiểu về chức năng của nhà nước, cụ thể:",5,1,chức_năng nhà_nước phương_hướng hoạt_động chủ_yếu nhà_nước thể_hiện bản_chất trò sứ_mệnh xã_hội mục_tiêu viết phân_tích khái_niệm chức_năng nhà_nước
83,"Sp phù hợp giá tiền, mặc thoải mái lên fom ok ạ",5,1,giá tiền mặc thoải_mái đồng_ý
84,"Giao hàng nhanh, shop rất nhiệt tình, hàng giống hình, gói cẩn thận",5,1,hàng cửa tiệm nhiệt_tình hàng hình gói
85,Phù hợp với giá tiền. Mặc co giãn tốt.cảm on shop nhiều..............có dịp sẽ ủng hộ tiếp.,5,1,giá tiền mặc giãn tốt cảm cửa tiệm dịp ủng_hộ tiếp
86,"Vải áo ổn, phù hợp với giá tiền . đã mua 2 lần :).,,,,vvvvvvvvv",5,1,vải áo ổn giá tiền
87,Hàng đẹp phù hợp giá tiền đáng mua lắm ạ.Lần sau sẻ ủng hộ tiếp.,5,1,hàng đẹp giá tiền lắm sẻ ủng_hộ tiếp
90,Áo đẹp lắm luôn đó anh sẽ cố gắnggg của anh là bồ em đi học đi anh không,5,1,áo đẹp lắm cố gắnggg bồ học không
92,Chất liệu mát .cảm nhận rất tot ve san pham minh se ủng hô shop lâu dai,5,1,chất_liệu mát cảm_nhận ủng hô cửa tiệm
93,"mình lười chụp ảnh quá nên lấy tạm anh này:)
hàng đẹp, đáng mua, xác nhận và đóng gói sản phẩm rất nhanh. khuyên mn nên up lên 1 size vì size của shop hơi bé",5,1,lười chụp ảnh tạm hàng đẹp xác_nhận đóng_gói sản_phẩm khuyên kích_thước kích_thước cửa tiệm hơi bé
94,"Lần thứ 3 mua hàng r, vẫn rất hài lòng vs sản phẩm của shop ạ :D !!!",5,1,hàng hài_lòng sản_phẩm cửa tiệm
95, Chất lượng sản phẩm tuyệt vời,5,1,chất_lượng sản_phẩm
96,"Quần đẹp, Màu xanh đậm hơn hình. Vải đứng form, không quá mỏng.",5,1,quần đẹp màu đậm hình vải đứng form không_quá mỏng
97,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền",5,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp cửa tiệm phục_vụ tốt tiền
98,", Thời gian giao hàng rất nhanh",5,1,thời hàng chóng
100,Áo lót nỉ giày dặn. Shop chuẩn bị hàng lâu. Chắc do 12/12 nhiều đơn,5,1,áo_lót nỉ giày dặn cửa tiệm hàng đơn
102,Hàng đẹp chất lượng phục vụ tốt.Giao hàng nhanh .Sẽ ủng hộ shop lần sau ạ,5,1,hàng đẹp chất_lượng phục_vụ tốt hàng chóng ủng_hộ cửa tiệm
105,Sản tốt mà shop nói có khẩu trang mà ko thấy ạ,5,1,sản tốt cửa tiệm khẩu không_thấy
106,chất lượng sản phẩm tuyệt vời chu đáo cẩn thận nhiệt tình sẽ ủng hộ vào lần tới ạaaa,5,1,chất_lượng sản_phẩm tuyệt_vời đáo cẩn_thận nhiệt_tình ủng_hộ
107,Máy đang dùng. Chưa biết có bền không. Hy vọng dùng được lâu dài. Ảnh để nhận xu nha,5,1,máy bền không vọng ảnh
111,"Hài lòng về sản phẩm, shop phục vụ rất tốt,  thời gian giao hàng rất nhanh",5,1,hài_lòng sản_phẩm cửa tiệm phục_vụ tốt thời hàng chóng
112,shop bán hàng tốt.phục vụ lại tốt hơn. Nhiệt tình chúc shop bán đông khách.,5,1,cửa tiệm hàng tốt phục_vụ tốt nhiệt_tình chúc cửa tiệm đông
114,"Giao hàng nhanh chóng tiện lợi khi mua hàng, đóng gói cẩn thận, sản phẩm ok",5,1,hàng chóng chóng tiện_lợi hàng đóng_gói cẩn_thận sản_phẩm
115,"Sp tốt sẽ tiếp tục ủng hộ, hình ảnh mang tính chất nhận xu",5,1,tốt ủng_hộ hình_ảnh tính_chất
116,"Hình ảnh mang tính chất nhận xu
Sản phẩm đẹp
Nên mua ạ, xinhhhhjj",5,1,hình_ảnh tính_chất sản_phẩm đẹp
117,", Chất lượng sản phẩm tuyệt vời, Thời gian giao hàng rất nhanh",5,1,chất_lượng sản_phẩm tuyệt_vời thời hàng chóng
118,"Giao hàng rất nhanh luôn, áo đẹp quá chừng, vải dày dặn. Áo đẹp hơn kì vọng luôn, e sẽ mua thêm <3",5,1,hàng chóng áo đẹp quá_chừng vải áo đẹp kì_vọng
119,"sản phẩm KHÁ , Eo mình 89 - Mông 102 chọn size XXL ",5,1,sản_phẩm mông
122,mặc dù lỡ mua nhầm size nhưng bên shop vẫn hỗ trợ đổi trả rất là nhiệt tình e nhân viên tổng đài cảu shop còn nói chuyện rất là dễ thương nữa quá chi là hài lòng luôn đó shop à iu nhiều,5,1,mặc_dù lỡ nhầm kích_thước cửa tiệm đổi nhiệt_tình_nhân_viên tổng_đài cảu cửa tiệm nói_chuyện dễ_thương hài_lòng cửa tiệm yêu
124,"Mua xong gởi người thân luôn nên không có hình chụp mặc thử, hàng ok. Thanks shop. Màu và mẫu y hình nha mọi người.",5,1,gởi người_thân hình chụp mặc thử hàng màu mẫu hình
125,"Khá tốt , không nóng lắm , ít chỉ thừa , dùng lâu chưa biết thế nào",5,1,tốt không_nóng lắm thừa
127,"Giao hàng tương đối nhanh, quần như hình, chất phù hợp mùa hè, mỏng, đẹp, thấm mồ hôi, giá tốt!",5,1,hàng tương_đối quần mùa hè mỏng đẹp thấm mồ_hôi giá tốt
128,Áo đúg size. Ấm áp dày dặn. Cảm ơn shoppp,5,1,áo ấm_áp
129,", Đóng gói sản phẩm rất đẹp và chắc chắn, Thời gian giao hàng rất nhanh",5,1,đóng gói sản_phẩm đẹp thời hàng chóng
131,"Đóng gói cẩn thận, áo đẹp như hình mẫu. Nên mua upsize nếu muốn mặc thoải mái",5,1,đóng gói cẩn_thận áo đẹp hình_mẫu upsize mặc
132,"Vải mát, mềm mịn, mặc nhẹ, mình thấy kiểu dáng body chứ ko rộng, hi vọng ch mình mặc vừa, ai béo nên lấy to hơn 1 size.",5,1,vải mát mềm mịn mặc nhẹ_mình kiểu_dáng thân_hình không_rộng chào vọng mặc béo
133,"Giao hàng siêu nhanh, chất liệu phù hợp giá cả, size M nhưng hơi to 1 chút. Nói chung tiện lợi, đáng mua,5 sao cho shop
Vãi dày và đẹp, mang vào thoải mái cực. 1 cái đc 2 màu thì hời quá r🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗
Shop Tư vấn nhiệt tình, giao hàng nhanh, đóng gói cẩn thận, chất vải dày dặn đẹp, tặng Sh",5,1,hàng chất_liệu giá_cả kích_thước hơi tiện_lợi cửa tiệm vãi dày đẹp thoải_mái cực màu hời rcười cười_cười_cười_cười_cười_cười_cười_cười_cười_cười cửa tiệm tư_vấn nhiệt_tình hàng đóng_gói cẩn_thận chất vải dày_dặn đẹp tặng
134,Mình chụp hơi dìm chútt chứ bên ngoài nhìn xịn xò nhaa . m56 mặc size M trùm mông.b nào thích form rộng thì mặc sz L cũng dc nhaa!,5,1,chụp hơi dìm chútt xịn mặc kích_thước trùm mông thích rộng mặc sz
135,Chất lượng sản phẩm rất ok so với giá tiền. Hàng chất lượng. Chưa sd chưa biết nhưng nhìn đã rất ưng so vs hàng bữa m mua,5,1,chất_lượng sản_phẩm đồng_ý giá tiền hàng ưng hàng bữa
138,"Shop giao rat nhanh sp phu hop voi gia tien mọi nguoi nen mua ạ....,......  ........    . ",5,1,cửa tiệm chuột chóng phú nhảy lò_cò tiến
139,"Hàng đóng gói cẩn thận
Có thư cảm ơn và có voucher giảm giá 10%
Và có tặng mốc khoá
Mở áo ra còn có cả giấy thơm
Áo vải đẹp 
1m65 mang size M nha",5,1,hàng đóng_gói cẩn_thận thư chứng_từ giảm_giá tặng mốc khóa áo giấy thơm áo vải đẹp
140,Hàng ok chất lượng phù hợp với giá tiền........,5,1,
141,Mua lần 2. Giao hàng nhanh. Đường may kỹ chất vải đẹp ........,5,1,hàng đường kỹ chất vải đẹp
143,vải đẹp thích cách shop đóng gói có cả hướng dẫn đổi hàng rất cụ thể vid magn tính nhận xu,5,1,vải đẹp thích cửa tiệm đóng_gói hướng_dẫn đổi hàng vid magn
146,"Sản phẩm chất lượng, vải dày dặn, vừa size, mọi người nên mua nha",5,1,sản_phẩm chất_lượng vải dày_dặn
147,"Ảnh ko lwan, shop đóng gói cẩn thận và giao đủ hàng",5,1,ảnh không_lwan cửa tiệm đóng_gói cẩn_thận hàng
153,Tạm đk  Đóng gói sản phẩm rất đẹp và chắc chắn,5,1,tạm đk đóng_gói sản_phẩm đẹp
154,Chất lượg oke. Vải ổn nên mua . Cảm ơn shop chúc shop buôn bán tốt thuận lợi ! Many thanks,5,1,chất vải ổn cửa tiệm chúc cửa tiệm buôn_bán tốt
155,"Quần đẹp, lên form đẹp, giao hàng nhanh, nên muaaaaaaaaaaaaaa",5,1,quần đẹp đẹp hàng
156,sản phẩm ok rấttttt sexy :))) ae tự tin mua size XXL NHÉ . vì size nó hơi bé 1 chút . định feedback ảnh thật người thật mà ... thôi =)))))),5,1,sản_phẩm đồng_ý rấttttt thiếc kích_thước kích_thước hơi bé định phản_hồi ảnh_thật
157,Áo đẹp sờ mát tay nói chung là ưng ý lắm ảnh mang tính chất nhận xu,5,1,áo đẹp sờ mát ưng_ý lắm ảnh tính_chất
158,"Quần đẹp, Mới, Chính hãng Giá thơm, Đóng gói chắc chắn. Chúc shop buôn may bán đặt",5,1,quần đẹp hãng giá thơm đóng_gói chúc cửa tiệm buôn
159,"Shop nhiệt tình, chu đáo, hàng đẹp mà giá lại rẻ đáng mua nha mn.",5,1,cửa tiệm nhiệt_tình đáo hàng đẹp giá rẻ
160,"Hình ảnh chỉ mang tính chất minh họa 
Hàng đẹp đã mua hàng rất nhiều lần",5,1,hình_ảnh tính_chất họa hàng đẹp hàng
161,Chất áo siêu đẹp. Sẽ ủng hộ tiếp. Hình ảnh mang tính chất nhận xu,5,1,chất áo đẹp ủng_hộ tiếp hình_ảnh tính_chất
162,"Hàngggg oklaaa cả nhà ưiiiii, giao hàng nhanh, vừa hôm qua đặt hôm sau có hàng luôn, shop tư vấn nhiệt tình, nên mua nha mn",5,1,hàngggg oklaaa ưiiiii hàng hôm hôm hàng cửa tiệm tư_vấn nhiệt_tình
165,"Hàng tốt , đúng mô tả sản phẩm , chưa dùng nên chưa biết chất lượng . Đóng gói kĩ  ( ai mua bếp gas liên hệ shop)",5,1,hàng tốt mô_tả sản_phẩm đóng_gói kĩ bếp khí
166,.nh có thể là mẹ của mình và e khok huhu ý kiến của bạn thì sao nhỉ mình t k,5,1,mẹ khok ý_kiến không
168,"Áo đẹppp lắm nha cácc bác chất thông hơi siêu mát luônnn, chất này ở ngoài phải trên 200k đó ạ
Không mua hơi phí nhé",5,1,áo đẹppp lắm cácc chất thông hơi siêu_mát luônnn chất không_hơi phí
169,chất mặc dễ chịu đẹp giá lại hợp lý,5,1,chất mặc dễ_chịu đẹp giá
170,"Áo đẹp nhẹ, giao hàng nhanh, shop đóng gói cẩn thận, chắc chắn",5,1,áo đẹp nhẹ hàng cửa tiệm đóng_gói cẩn_thận
174,mua lần 2 rồi mà shop vẫn cứ quá tuyệt vời luôn í giao cực nhanh,5,1,cửa tiệm tuyệt_vời í cực
175,Quần rất đẹp. Shop tư vấn size đúng chuẩn. Được flashsale nữa nên mua giá tốt. Sẽ tiếp tục ủng hộ lan sau.,5,1,quần đẹp cửa tiệm tư_vấn kích_thước chuẩn flashsale giá tốt
177,"rút kinh nghiệm nên chọn được mấy quần kiểu đẹp,  chất jean mềm nhẹ, nếu ko chắc thì nên hỏi shop kỹ sẽ chọn được quần ưng ý, xui lắm thì mới mua trúng cái ko vừa ý thôi, đồ của shop có nhiều mẫu đẹp chất jean tốt, chủ shop xinh, dễ thương và biết lắng nghe góp ý của khách. Thanks Shop và Shopee",5,1,rút dân_tộc nghiệm quần kiểu đẹp chất mềm nhẹ không_chắc cửa tiệm kỹ quần ưng_ý xẻo lắm trúng không_vừa_ý đồ cửa tiệm mẫu đẹp chất tốt chủ cửa tiệm dễ_thương lắng nghệ góp_ý cửa tiệm
178,"Shop giao hàng siêu nhanh, đóng gói cẩn thận, chất lượng tốt, mình mua cho ny nên cũng k biết nói gì hơn 😀 mxkxmx",5,1,cửa tiệm hàng đóng gói cẩn_thận chất_lượng tốt người_yêu cười
179,Mua hộ bạn nên kb hàng đẹp không. Nhưng đóng gói siêu đẹp. Hình ảnh chỉ mang tính chát nhận xuuuu,5,1,hộ kết hàng đẹp không đóng_gói đẹp hình_ảnh chát
180,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Thời gian giao hàng rất nhanh",5,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp thời hàng chóng
181,"Giao hàng siêu nhanh.
Sản phẩm thì khỏi chê.
Giao đủ hàng đủ số lượng.
Sẽ tiếp tục ủng hộ",5,1,hàng sản_phẩm chê hàng
182,"Hàng ok. Quần đẹp chất lượng
Mã mời PiNetWork: 6868Pi",5,1,hàng quần đẹp chất_lượng mã mời
186,"Quần đẹp, vải okie. Giao hàng nhanh, đóng gói cẩn thận......",5,1,quần đẹp vải hàng đóng_gói
190, Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời,5,1,đóng gói sản_phẩm đẹp chất_lượng sản_phẩm
192,"Quần ổn, form ok, tuy nhiên những bạn nào có thân dưới to như mông và đùi phát triển thì nên chọn lớn hơn 1 size để khi squat, deadlift không bin vướng hoặc rách quần",5,1,quần ổn nhiên thân mông đùi phát_triển kích_thước deadlift không_thùng_rác vướng rách quần
193,"Đánh giá để nhận xu.
 Mình cứ ngỡ 
màu xanh bích là xanh lam 😅😅",5,1,ngỡ màu bích
196,"Quần đẹp vải không mỏng cũng không quá dày, đường may chắc chắn. Mặc một thời gian thấy ok sẽ tiếp tục ủng hộ shop.",5,1,quần đẹp vải không_mỏng không_quá dày đường mặc thời đồng_ý
197,cho lun 5 sao về cả chất lương và cách phục vụ,5,1,chất lương phục_vụ
200,"Vì mình ở gần nên 1 ngày là nhận được áo rồi
Đóng gói chắc chắn
Chưa khui nên chưa biết chất như nào",5,1,áo đóng_gói chất
201,"Quần rất đẹp, shop rất nhiệt tình đổi size khi mình ko mặc vừa!",5,1,quần đẹp cửa tiệm nhiệt_tình đổi kích_thước không_mặc
204,"Quần vải dày đẹp lắm luônnn ,mà size M mình 1m50 nên mặc bị dài xíu 😢😢",5,1,quần vải dày đẹp lắm luônnn kích_thước mặc xíu khóc khóc
205,Mỗi cái khuy đồng hơi dởm :),5,1,đồng hơi
207,Quá đẹp shop ơi ! Shop còn tặng đôi vớ mà không nói làm cắt trúng đôi vớ 😔,5,1,đẹp cửa tiệm cửa tiệm tặng vớ không_nói cắt trúng vớ
208,"Áo đẹp 10 điểm cầm nặng tay chất thì ok 
Nhưng mà em chỉ muốn nói em chưa có nguoiiu á
Fb: Huỳnh Thị Diễm Hằng, Diễm Hằng
Ai chưa nguoiiu thì yêu em đi :))",5,1,áo đẹp cầm chất đồng_ý nguoiiu huỳnh thị diễm hằng diễm hằng nguoiiu yêu
210,"Áo giống hình, chất này không biết mặc nóng k nhỉ . Cũng ok ok ok ",5,1,áo hình chất mặc nóng đồng_ý đồng_ý
211,Đệp...giao hàng nhanh....giá tốt...ngon lành cành đào.........,5,1,đệp hàng giá tốt_lành cành đào
212,áo xinh form chuẩn tóm lại là đẹp không có gì để nói :))) chỉ là thích mặc rộng mà lỡ mua size M vừa người nên hơi tiếc thui,5,1,áo form chuẩn tóm_lại đẹp thích mặc rộng lỡ kích_thước hơi tiếc
213,"Đồ đẹp, chính hãng, vải dày dặn, thoáng mát, mn nên mua nhaaaaa",5,1,đồ đẹp hãng vải dày_dặn thoáng mát nhaaaaa
214,"Trời ơi ko nghĩ là áo lại chất đẹp đến thế .phông cx đẹp mà so vs mk thì m65 mà size 2xl thì vừa nhưng mong dài thêm tí nx
Ko nghĩ là áo lại có thêm lớp bông đằng trong nữa luôn 
Rất ưng và sẽ ghé lại shop",5,1,trời không_nghĩ áo chất đẹp đẹp kích_thước tí không_nghĩ áo lớp đằng ưng ghé cửa tiệm
215,"Hàng chuẩn nha quí vị ơi. 
Shop có gọi chốt màu và size nữa. 
Mình mặc rất vừa và đẹp 
Ủng hộ shop nhé mn.",5,1,hàng chuẩn quý vị cửa tiệm chốt màu kích_thước mặc đẹp ủng_hộ cửa tiệm
217,"Áo thun đẹp, cổ tròn mặt thoải mái, chất vải mát mịn. Mặc form lên rất tôn dáng. Rất mê em này. Ảnh mang tính nhận xu",5,1,áo đẹp cổ tròn mặt thoải_mái chất vải mát mặc form tôn dáng mê ảnh
