Tên sản phẩm,Giá bán,Tỷ lệ giảm giá,Thông tin mô tả,Tên tập tin hình sản phẩm
Bộ bàn ghế Lego đa năng TẶNG bộ xếp hình 342 chi tiết A213-7,599000,-20,"- Thương hiệu: BBT GLOBAL

						- Dành cho bé 3+

						- Kích thước: 72*46*49cm

						- Trọn bộ gồm: Bàn 2 mặt Lego và mặt nhẵn, Ghế ngồi tai thỏ, 342 khối xếp hình cho bé thỏa sức sáng tạo, kích thích tư duy cho trẻ

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Bàn Lego cho bé đạt tiêu chuẩn chất lượng Châu Âu - CE

						- Có chứng nhận an toàn cho bé - CQ",a213-7-bo-ban-ghe-lego-da-nang-342-chi-tiet-xep-hinh-co-lon-medium.jpg
"Đồ chơi xếp hình chiến hạm, tàu chiến 8in1 906 chi tiết LX.A281",349000,0,"- Thương hiệu: BBT GLOBAL.

						- Dành cho bé 6+

						- 906 chi tiết.

						- Chất liệu nhựa ABS an toàn cho bé.

						- Bộ đồ chơi 8 trong 1 có thể lắp 1 chiếc tàu sân bay to hoặc 8 chiếc máy bay, tàu, xe khác.

						- Các chi tiết ghép nối giúp bé thỏa sức sáng tạo xây dựng các hình không gian, kích thích trí tưởng tượng cho trẻ, bé thông minh hơn.

						- Chất liệu nhựa nguyên sinh an toàn cho bé.

						- Đạt tiêu chuẩn chất lượng Châu ÂU - CE.

						- Có chứng nhận an toàn cho trẻ - tiêu chuẩn CQ.",lx-a281-do-choi-xep-hinh-chien-ham-tau-chien-8in1-906-chi-tiet-1-medium.jpg
Xếp hình thông minh xe cứu hỏa BBT Global 5126,99000,-30,"Thương hiệu: BBT Global

						Số gạch xếp: 13 viên

						Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công  nghệ hiện đại của Châu Âu

						✪ Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn- thietbivuichoi.vn",5126-do-choi-xep-hinh-cho-be-1-medium.jpg
Bộ bàn chơi LEGO đa năng kèm 61 chi tiết xếp hình 669-40,366000,0,"- Thương hiệu: BBT GLOBAL

						- Kích thước bàn: 48.5*30.5*27.5cm

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Dành cho bé 2+

						- Bàn chơi lego đa năng cho bé ngồi học, ngồi ăn, chơi đồ chơi nước

						- Mặt bàn có nhiều ngăn rộng cho bé cất đồ chơi sau khi chơi xong",669-40-ban-xep-hinh-lego-cho-be-9-medium.jpg
Đồ chơi xếp hình ngôi nhà trái cây 336 chi tiết 5218,199000,-20,"- Thương hiệu: BBT Global

						- Kích thước: 16,5 x 5 x 19,5cm

						- Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp

						- Dành cho bé 6+

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu

						- Đạt tiêu chuẩn: CE, CR, CQ - đảm bảo an toàn cho bé",5218-do-choi-xep-hinh-ngoi-nha-trai-cay-1-medium.jpg
Đồ chơi xếp hình nam châm thông minh 48 chi tiết CLB-3,189000,-20,"SẢN PHẨM LÀ HÀNG CAO CẤP, CÓ CHỨNG NHẬN CO,CQ xuất VAT FREE

						- Thương hiệu: BBT GLOBAL

						- Dành cho bé 3+

						- Số chi tiết: 48

						- Chất liệu nhựa nguyên sinh an toàn cho bé

						- Các chi tiết được gắn nam châm bên trong, giúp liên kết các chi tiết lại với nhau tạo thành hình khối chắc chắn

						- Các chi tiết được gắp nam châm bên trong cho bé thỏa sức sáng tạo xây dựng các hình không gian, kích thích trí tưởng tượng cho trẻ, bé thông minh hơn

						- Chất liệu nhựa nguyên sinh an toàn cho bé

						- Đạt tiêu chuẩn chất lượng Châu ÂU - CE

						- Có chứng nhận an toàn cho trẻ -  tiêu chuẩnCQ",clb-4-do-choi-xep-hinh-nam-cham-64-chi-tiet-cho-be-14-medium.jpg
Xếp hình thông minh mô hình cảnh sát 5130,221000,0,"Thương hiệu: BBT Global

						Bao gồm : 21 chi tiết xếp hình

						Độ tuổi : 3+

						Kích thước hộp:&nbsp;32-28,5-9cm

						Chất liệu: nhựa nguyên sinh an toàn cho bé",5130-do-choi-xep-hinh-cho-be-1-3-medium.jpg
Đồ chơi xếp hình cung điện Elsa SW803,173000,0,"- Thương hiệu: BBTGlobal 

						- Gồm 216 chi tiết dành cho bé xếp hình lâu đài băng tuyết của công chúa ELSA trong bộ phim hoạt hình nổi tiếng FROZEN

						- Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn",sw803-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình xe ô tô cho bé trai 336 chi tiết 5105,199000,0,"- Thương hiệu: BBT Global

						- Kích thước: 16,5 x 5 x 19,5cm

						- Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp

						- Dành cho bé 5+

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu

						- Đạt tiêu chuẩn: CE, CR, CQ - đảm bảo an toàn cho bé",5105-medium.png
Bộ bàn chơi LEGO đa năng 2 ghế kèm bộ xếp hình 100 chi tiết cỡ lớn 188T-8/188T-9,1100000,-20,"- Thương hiệu: BBT Global

						- Kích thước bàn: 61*61*52cm, ghế: 28*28*45cm

						- Dành cho bé: 1-10 tuổi

						- Mặt bàn 2 trong 1, tích hợp mặt bàn chơi lego cho bé

						- Ngoài ra ba mẹ có thể dùng làm bàn ăn, bàn học và bạn ngồi chơi cho bé (dùng mặt bàn nhẵn)

						- Màu sắc: kết hợp 3 màu trắng - vàng - xanh vô cùng trang nhã

						- Trọn bộ gồm: 1 bàn + 2 ghế + 4 hộp chứa đồ + 100 chi tiết xếp hình cỡ lớn

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Tiêu chuẩn: hàng xuất Châu Âu",188t-8-ban-choi-lego-cho-be-medium.jpg
Bộ bàn chơi LEGO đa năng 1 ghế kèm bộ xếp hình 60 chi tiết cỡ lớn 188T-3,940000,-20,"- Thương hiệu: BBT Global

						- Kích thước bàn: 56*43*43cm, ghế: 28*28*45cm

						- Kích thước hộp: 58*22*44cm

						- Trọn bộ gồm: 1 bàn + 1 ghế + 2 hộp chứa đồ + 60 chi tiết xếp hình cỡ lớn

						- Mặt bàn đa năng cho bé chơi, 1 mặt cho bé chơi lego, 1 mặt trơn cho bé làm bàn ăn, bàn học và bàn ngồi chơi

						- Dưới mặt bàn sẽ là 1 ngăn đựng đồ lớn cho bé đựng đồ chơi logo vô cùng tiện lợi

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Sản phẩm đạt tiêu chuẩn: EU(xuất Châu Âu), CR (Nhập khẩu về VN), CQ(kiểm định an toàn cho trẻ)",188t-3-ban-ghe-choi-lego-da-nang-cho-be-3-medium.jpg
Đồ chơi xếp hình nhà hàng hải sản 490 chi tiết 6571,399000,-20,"- Thương hiệu: BBT Global

						- Kích thước: 42,5 x 6,8 x 32,8cm

						- Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp

						- Dành cho bé 6+

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu

						- Đạt tiêu chuẩn: CE, CR, CQ - đảm bảo an toàn cho bé",6571-do-choi-xep-hinh-cho-be-gai-medium.jpg
Bộ đồ chơi xếp hình cao cấp kỹ sư công trình CGBX4115,95000,0,"✪ Thương hiệu: BBT Global

						✪ KT hộp: 20*16*5cm Với 115 chi tiết nhỏ để bé thỏa sức sáng tạo, rèn luyện tư duyƯ

						✪ Độ tuổi sử dụng: 6+

						✪ Xếp hình thông minh được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu 

						✪ Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải",cgbx4115-do-choi-xep-hinh-cho-be-medium.jpg
Bộ bàn chơi LEGO đa năng 2 ghế kèm 60 chi tiết xếp hình cỡ lớn 188T-4,990000,-20,"- Thương hiệu: BBT Global

						- Kích thước bàn: 56*43*43cm, ghế: 28*28*45cm

						- Kích thước hộp: 58*22*44cm

						- Trọn bộ gồm: 1 bàn + 2 ghế + 4 hộp chứa đồ + 60 chi tiết xếp hình cỡ lớn

						- Mặt bàn đa năng cho bé chơi, 1 mặt cho bé chơi lego, 1 mặt trơn cho bé làm bàn ăn, bàn học và bàn ngồi chơi

						- Dưới mặt bàn sẽ là 1 ngăn đựng đồ lớn cho bé đựng đồ chơi logo vô cùng tiện lợi

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Sản phẩm đạt tiêu chuẩn: EU(xuất Châu Âu), CR (Nhập khẩu về VN), CQ(kiểm định an toàn cho trẻ)",188t-4-ban-ghe-choi-lego-da-nang-cho-be-7-medium.jpg
Đồ chơi xếp hình 3D nam châm ráp ô tô BBT Global 689B,209000,0,"- Thương hiệu: BBT Global

						- Độ tuổi: 3+

						- Với 14 chi tiết cho bé lắp 2 chiếc xe ô tô xinh xắn

						- Chất liệu: nhựa nguyên sinh an toàn cho bé, cạnh có nam châm giúp các chi tiết liên kết với nhau",689b-do-choi-xep-hinh-cho-be-1-medium.jpg
Bộ bàn ghế xếp hình LEGO đa năng kèm 105 chi tiết xếp hình cỡ lớn UG401-1,499000,-20,"- Thương hiệu: BBT Global

						- Kích thước bàn: 42x32x35cm, Ghế ngồi: 21x21x38cm

						- Kích thước hộp đựng: 54x9x43cm

						- Dành cho bé: 2+

						- Mặt bàn 2 trong 1, tích hợp mặt bàn chơi lego cho bé

						- Ngoài ra ba mẹ có thể dùng làm bàn ăn, bàn học và bạn ngồi chơi cho bé (dùng mặt bàn nhẵn)

						- Màu sắc: kết hợp 3 màu trắng - vàng - xanh vô cùng trang nhã

						- Trọn bộ gồm: 1 bàn + 1 ghế + 4 hộp chứa đồ + 105 chi tiết xếp hình cỡ lớn

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Tiêu chuẩn: hàng cao cấp xuất Châu Âu -CE",ug401-1-ban-ghe-tre-em-kiem-xep-hinh-lego-cho-be-medium.jpg
Đồ chơi xếp hình cho bé vườn bách thú thả bóng 168 chi tiết 8803C,580000,-20,"- Thương hiệu: BBT GLOBAL

						- Kích thước sau khi xếp thành khối: 50*29*27cm

						- Dành cho bé: 3+

						- Chất liệu: nhựa nguyên sinh đảm bảo an toàn cho bé

						- Cho bé chơi xếp hình khu rừng và muôn thú sau đó bé được chơi thử thách thả bóng, dẫn bóng về đích với thời gian nhanh nhất với 8 trái bóng sắc màu",8803c-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình cho bé thả bóng thông minh 97 chi tiết 8801,330000,0,"- Thương hiệu: BBT GLOBAL

						- Kích thước hộp: 33*25*9cm

						- Dành cho bé 3+

						- Gồm 97 chi tiết

						- Được làm từ nhựa nguyên sinh an toàn cho bé

						- Thiết kế 2 trong 1: bé chơi xếp hình và chơi thả bóng cực kỳ thích thú",8801-do-choi-xep-hinh-cho-be-4-medium.jpg
Đồ chơi bảng núm gỗ lắp ráp theo chủ đề BBT Global 333-4,40000,-20,"- Thương hiệu: BBT Global

						- Kích thước: 22.5x18x1.1cm

						- Chất liệu: gỗ an toàn

						- Dành cho bé từ 1.5 tuổi trở lên

						- Có các chủ đề khác nhau: xe cộ, các chữ số, rau củ quả...

						- Sản phẩm được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu (CE)

						- Có chứng nhận chất lượng, đảm bảo an toàn cho bé (CQ)",333-4-do-choi-go-lap-rap-hinh-thong-minh-medium.jpg
Đồ chơi xếp hình 3D nam châm 40 chi tiết BBT Global 689-28,188000,-20,"- Thương hiệu: BBT Global

						- Độ tuổi: 3+

						- Với 40 chi tiết cho bé thỏa sức xếp hình ngôi nhà, vòng quay mặt trời...

						- Chất liệu: nhựa nguyên sinh an toàn cho bé, cạnh có nam châm giúp các chi tiết liên kết với nhau",689-28-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình xe ô tô Lamborghini cho bé 341 chi tiết 5103,199000,0,,5103-medium.png
Đồ chơi xếp hình thế giới khủng long 352 chi tiết SY1505,199000,-20,"- Thương hiệu: BBT Global

						- Kích thước: 42 x 6.8 x 30cm

						- Combo 2 khủng long sẽ gồm 742 chi tiết

						- Ba Mẹ có thể mua lẻ bộ: khủng long bay xanh(352 chi tiết), khủng long bạo chúa nâu(390 chi tiết)

						- Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp

						- Dành cho bé 6+

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu

						- Đạt tiêu chuẩn: CE, CR, CQ - đảm bảo an toàn cho bé",sy1505-do-choi-xep-hinh-thong-minh-cho-be-1-medium.jpg
Đồ chơi mô hình đoàn tàu có đèn và nhạc 2055-3,190000,0,"- Thương hiệu: BBT GLOBAL

						- Kích thước hộp: 46*30*2cm

						- Chất liệu: nhựa nguyên sinh an toàn cho bé

						- Chiếc tàu kéo thêm 2 toa phía sau có sử dụng pin",2055-3-do-choi-mo-hinh-duong-tau-co-dung-pin-medium.jpg
Xếp mô hình 3D ngôi nhà biệt thự cho bé 3D-29,20000,-20,"✔ Mẫu đồ chơi lắp ráp mô hình 3D kiểu mới, giúp trẻ sáng tạo, kích thích trí tưởng tượng

						✔ Kích thước : 19x15.7x19.5cm

						✔ Chất liệu: 

						✔ Hàng nhập khẩu đạt tiêu chuẩn Châu Âu (CE)

						✔ Chứng nhận an toàn của Tổng cục Tiêu chuẩn Đo lường Chất lượng (CQ)",3d-29-do-choi-xep-hinh-cho-be-1-medium.jpg
Bộ đồ chơi xếp hình cao cấp đàn piano cho bé CGBX4524,95000,0,"✪ Thương hiệu: BBT Global

						✪ Tuổi:  6+ gồm 98 chi tiết, KT hộp đựng: 20×16×4.5CM, có thể xếp thành 1 phòng riêng cho bé với đàn piano, giường ngủ và tủ góc búp bê như hình minh họa

						✪ Xếp hình thông minh được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu 

						✪ Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn,",cgbx4524-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình 3D cho bé hình tàu thủy LX-207,20000,-20,"- Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy

						- Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé 

						- Tháo lắp dễ dàng, mô hình tàu hải tặc trong bộ phim hoạt hình được nhiều bé yêu thích

						- Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cm - đây là SIZE TO NHẤT",lx-207-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình 3D xe tăng 0981,20000,0,,0981-do-choi-xep-hinh-3d-xe-tang-medium.jpg
Đồ chơi xếp hình 3D tàu thủy LX-202,20000,0,,lx-202-do-choi-xep-hinh-3d-tau-thuy-medium.jpg
Đồ chơi xếp hình 3D công viên vui nhộn LX-607,20000,0,,lx-607-do-choi-xep-hinh-3d-cong-vien-vui-nhon-medium.jpg
Đồ chơi xếp hình trực thăng 3D LX-146,20000,0,,lx-146-do-choi-xep-hinh-cho-be-2-medium.jpg
Đồ chơi xếp hình 3D trạm cảnh sát LX-321,20000,0,,lx-321-xep-hinh-3d-cho-be-medium.jpg
Đồ chơi xếp hình 3D cho bé hình trực thăng LD-258-17,20000,-20,"- Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy

						- Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé 

						- Tháo lắp dễ dàng, mô hình máy bay quân sự được nhiều bé trai yêu thích, bổ sung vào bộ sưu tập mô hình của mình

						- Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cm - đây là SIZE TO NHẤT",dl-258-17-do-choi-xep-hinh-cho-be-2-medium.jpg
Đồ chơi xếp hình 3D ngôi nhà ước mơ cho bé LX-851,20000,-20,"- Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy

						- Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé 

						- Tháo lắp dễ dàng, mô hình ngôi nhà màu hồng 2 tầng tuyệt đẹp

						- Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cm - đây là SIZE TO NHẤT",lx-851-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình 3D nam châm 70 chi tiết BBT Global 689-29,282000,-20,"- Thương hiệu: BBT Global

						- Độ tuổi: 3+

						- Với 70 chi tiết cho bé thỏa sức xếp hình ngôi nhà, vòng quay mặt trời...

						- Chất liệu: nhựa nguyên sinh an toàn cho bé, cạnh có nam châm giúp các chi tiết liên kết với nhau",689-29-do-choi-xep-hinh-cho-be-2-2-medium.jpg
Đồ chơi xếp hình thông minh thị trấn vui nhộn 889-907,629000,-20,"✪ Thương hiệu: BBT GLOBAL

						✪ Dùng cho bé: 2 tuổi trở lên 

						✪ Kích thước: 116,8*84*21,9cm, gồm 121 chi tiết cho bé lắp ghép mô hình thị trấn vui nhộn, kích thích trí tưởng tượng cho bé

						✪ Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn",889-907-mo-hinh-thi-tran-vui-nhon-medium.jpg
Xếp hình thông minh quán ăn vui vẻ BBT Global 5232,419000,0,"Thương hiệu: BBT Global

						Số gạch xếp: 73 viên

						Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc

						✪ Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn- thietbivuichoi.vn",xep-hinh-thong-minh-5232-medium.png
Xếp hình thông minh máy bay siêu tốc BBT Global 5100,105000,0,"Thương hiệu: BBT Global

						Số chi tiết: 8 chi tiết tạo thành máy bay, phù hợp với các bé mới tập xếp hình

						Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc

						✪ Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn- thietbivuichoi.vn",xep-hinh-thong-minh-5100-medium.png
