device_brand,os,screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,internet
Oppo,Android,10.29,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,4.02463715,5.009968405,4g
Others,Android,16.43,8.0,20.0,128.0,6.0,4000.0,171.0,2019,317,5.570212986,6.803360963,both
Realme,Android,15.37,,16.0,64.0,4.0,4300.0,191.0,2020,289,4.702659807,5.302060353,4g
Realme,Android,15.37,,16.0,128.0,4.0,5000.0,199.0,2020,338,4.941570991,5.0141624,4g
Realme,Android,15.37,,5.0,32.0,3.0,5000.0,195.0,2020,111,4.498364182,4.606569207,4g
Realme,Android,15.27,,5.0,32.0,3.0,4000.0,166.0,2020,167,2.896464272,3.690877457,4g
Realme,Android,15.27,,5.0,32.0,2.0,4000.0,166.0,2019,399,4.288677032,4.611351045,4g
Samsung,Android,20.32,5.0,2.0,16.0,1.5,4200.0,313.0,2015,909,4.32611744,5.348202169,4g
Others,Android,15.34,2.0,8.0,256.0,8.0,3130.0,141.0,2020,135,4.915665057,6.508292123,4g
Others,Android,12.93,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,4.180522258,5.34563025,4g
Others,Android,16.59,2.0,16.0,128.0,6.0,4500.0,210.0,2020,234,5.020849617,5.985371019,both
Others,Android,16.59,8.0,24.0,128.0,6.0,3820.0,192.0,2019,414,5.036303041,5.802239214,4g
Others,Android,17.78,2.0,16.0,64.0,4.0,6000.0,220.0,2020,135,4.378896742,4.80557721,4g
Others,Android,15.39,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,4.084294226,4.791151704,4g
Others,Android,15.39,2.0,16.0,128.0,6.0,4000.0,203.0,2020,125,4.919469846,5.393172898,4g
Others,Android,12.83,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,3.629394807,4.246493239,4g
Others,Android,12.7,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,3.974809994,4.699388861,4g
Others,Android,12.7,13.0,5.0,16.0,2.0,4000.0,234.0,2020,173,4.29374172,4.382276603,4g
Others,Android,15.42,12.0,16.0,128.0,8.0,5000.0,159.0,2018,413,5.175471537,5.700042155,4g
Vivo,Android,16.36,,32.0,128.0,8.0,4500.0,176.0,2020,343,5.052864298,5.766694674,4g
Vivo,Android,16.59,,16.0,64.0,4.0,5000.0,204.1,2020,246,4.801065863,5.068904202,4g
Vivo,Android,16.66,,32.0,128.0,8.0,4315.0,181.5,2020,145,5.560335417,6.446116566,both
Vivo,Android,16.21,,16.0,128.0,8.0,4500.0,190.2,2020,300,4.847331743,5.702781974,4g
Vivo,Android,16.43,,8.0,128.0,4.0,5000.0,197.0,2020,118,4.823260994,5.249652195,4g
Vivo,Android,16.69,,16.0,128.0,6.0,4500.0,198.1,2020,312,4.95434709,5.857447322,both
Vivo,Android,17.5,,16.0,256.0,8.0,4500.0,219.5,2020,226,5.466878008,6.447290015,both
Vivo,Android,16.36,,32.0,128.0,8.0,4500.0,176.0,2020,199,5.192623462,5.599199434,4g
Vivo,Android,16.36,13.0,32.0,128.0,8.0,4350.0,196.5,2019,279,5.288014474,6.04545545,both
Vivo,Android,16.21,13.0,16.0,128.0,8.0,4500.0,198.5,2019,212,4.770599875,5.79331844,4g
Vivo,Android,16.59,13.0,16.0,128.0,8.0,5000.0,193.0,2019,188,5.064302435,5.435249221,4g
Vivo,Android,16.21,13.0,32.0,128.0,8.0,4500.0,186.7,2019,264,5.104732617,5.801816215,4g
Vivo,Android,16.13,13.0,8.0,64.0,3.0,5000.0,191.5,2019,230,4.417755682,4.886809035,4g
Vivo,Android,16.21,13.0,16.0,64.0,6.0,4500.0,198.5,2019,259,4.601664047,5.55971963,4g
Vivo,Android,16.13,13.0,8.0,64.0,4.0,5000.0,190.0,2019,349,4.59360355,4.941928096,4g
Vivo,Android,16.13,13.0,16.0,128.0,4.0,5000.0,190.5,2019,500,4.907346705,5.245812813,4g
Vivo,Android,17.5,13.0,16.0,256.0,8.0,4500.0,218.5,2019,288,4.94071342,6.594864794,both
Vivo,Android,17.5,13.0,16.0,128.0,8.0,4500.0,217.3,2019,391,5.278471738,6.461014949,4g
Vivo,Android,16.28,13.0,12.0,128.0,8.0,4500.0,217.0,2019,204,4.911109575,6.215967174,both
Vivo,Android,16.28,13.0,12.0,128.0,8.0,4500.0,215.0,2019,293,5.144350003,6.015376367,4g
Vivo,Android,15.8,8.0,5.0,16.0,2.0,4030.0,163.5,2019,456,3.966132331,4.485598051,4g
Vivo,Android,16.21,13.0,32.0,128.0,6.0,4500.0,179.0,2019,224,5.206859756,5.635896134,4g
Vivo,Android,16.21,13.0,12.0,64.0,6.0,4500.0,198.5,2019,451,4.735671994,5.523458921,4g
Vivo,Android,16.59,13.0,16.0,64.0,4.0,5000.0,204.1,2019,338,4.956108708,5.304746654,4g
Vivo,Android,16.23,13.0,16.0,128.0,6.0,3700.0,185.0,2019,455,4.755829062,5.736217396,4g
Vivo,Android,15.9,13.0,16.0,64.0,4.0,3260.0,150.0,2019,431,4.614625345,5.071291288,4g
Vivo,Android,16.13,13.0,20.0,128.0,4.0,5000.0,190.5,2019,334,4.761831996,5.440511132,4g
Vivo,Android,16.59,13.0,16.0,128.0,6.0,3940.0,189.5,2019,415,5.116315759,5.561604282,4g
Vivo,Android,15.8,13.0,5.0,16.0,2.0,4030.0,163.5,2019,266,4.382151627,4.607966273,4g
Vivo,Android,10.29,5.0,2.0,4.0,0.5,1900.0,130.0,2013,931,3.379292546,4.6998438,no
Others,Android,12.93,8.0,8.0,32.0,3.0,3400.0,145.0,2019,407,4.421487704,5.199380619,4g
Others,Android,14.4,13.0,8.0,16.0,2.0,2920.0,160.0,2019,233,4.523526197,5.013098924,4g
Others,Android,15.21,8.0,5.0,16.0,2.0,4000.0,185.0,2019,423,4.131800899,4.405498991,4g
Others,Android,15.32,8.0,16.0,128.0,6.0,4000.0,184.0,2019,470,4.857950206,5.52589109,4g
Others,Android,15.9,8.0,8.0,64.0,3.0,4000.0,178.0,2019,280,4.33781348,5.196616812,4g
Xiaomi,Android,16.69,,20.0,128.0,8.0,4520.0,208.0,2020,318,4.852498904,5.664244378,both
Xiaomi,Android,16.69,,16.0,64.0,6.0,4520.0,205.0,2020,301,4.977492076,5.301312876,both
Xiaomi,Android,16.94,,16.0,128.0,6.0,4800.0,208.0,2020,319,5.120923648,5.523139508,both
Xiaomi,Android,16.94,,16.0,128.0,6.0,4500.0,208.0,2020,184,5.026246142,5.563792173,both
Xiaomi,Android,16.94,,32.0,64.0,6.0,5020.0,209.0,2020,256,4.966753066,5.198718001,4g
Xiaomi,Android,15.8,,8.0,32.0,2.0,5000.0,188.0,2020,265,4.344065128,4.49535532,4g
Xiaomi,Android,15.8,,8.0,32.0,2.0,5000.0,188.0,2020,321,3.421000009,4.39222446,4g
Xiaomi,Android,16.94,,16.0,64.0,6.0,4500.0,208.0,2020,169,4.967310169,5.295513439,4g
Xiaomi,Android,20.12,12.0,20.0,512.0,12.0,4050.0,241.0,2019,478,6.619433002,7.823341763,both
Xiaomi,Android,16.23,12.0,20.0,128.0,8.0,4000.0,196.0,2019,382,5.360587692,6.211302641,4g
Xiaomi,Android,16.23,12.0,16.0,128.0,8.0,4000.0,191.0,2019,374,5.192289962,6.107267847,4g
Xiaomi,Android,15.27,12.0,32.0,64.0,4.0,4030.0,173.8,2019,396,4.792396362,5.129188404,4g
Xiaomi,Android,16.23,12.0,32.0,64.0,6.0,4030.0,179.0,2019,406,4.886280713,5.56819182,4g
Xiaomi,Android,15.32,12.0,13.0,32.0,3.0,4000.0,186.0,2019,338,4.687395126,4.939282497,4g
ZTE,Android,16.89,,12.0,256.0,8.0,5100.0,215.0,2020,235,5.390850968,6.394693824,both
ZTE,Android,16.89,,12.0,128.0,6.0,5100.0,210.0,2020,278,4.652053772,5.740146547,both
ZTE,Android,15.24,14.5,8.0,32.0,3.0,4000.0,160.0,2019,386,4.272211769,4.493232533,4g
ZTE,Android,15.47,16.0,5.0,32.0,3.0,3200.0,165.0,2019,325,4.408059812,4.485936098,4g
ZTE,Android,15.32,14.5,16.0,64.0,3.0,3200.0,165.0,2019,347,4.498697941,5.080658745,4g
ZTE,Android,16.48,14.5,8.0,128.0,4.0,5000.0,190.0,2019,343,4.57316339,4.872292344,4g
ZTE,Android,16.89,48.0,16.0,128.0,8.0,5000.0,215.0,2019,336,5.668051665,6.708779812,4g
ZTE,Android,16.31,14.5,8.0,128.0,6.0,4000.0,186.0,2019,330,5.243913978,6.312478634,4g
ZTE,Android,13.84,13.0,8.0,16.0,2.0,2600.0,157.0,2019,474,4.297421451,4.383650316,4g
ZTE,Android,12.7,8.0,5.0,16.0,1.0,2000.0,144.0,2019,349,3.803992261,4.120986493,4g
ZTE,Android,12.7,8.0,5.0,16.0,1.0,2000.0,144.0,2019,385,3.931433399,4.102643365,no
ZTE,Android,16.89,48.0,16.0,64.0,6.0,5000.0,215.0,2019,506,5.263725922,6.217723241,4g
ZTE,Android,16.43,14.5,20.0,128.0,6.0,4000.0,175.0,2019,333,5.029718709,6.15296671,4g
ZTE,Android,13.84,13.0,8.0,16.0,2.0,3200.0,135.0,2018,595,4.450152464,5.002468705,4g
ZTE,Android,15.27,16.0,5.0,32.0,2.0,3200.0,146.0,2019,420,4.339249605,4.412192049,4g
Honor,Android,14.5,13.0,5.0,64.0,3.0,3020.0,146.0,2020,138,4.466367783,4.695467824,4g
Honor,Android,17.3,13.0,16.0,128.0,8.0,4300.0,213.0,2020,268,5.051905188,5.520660598,both
Honor,Android,16.69,13.0,8.0,128.0,8.0,4200.0,213.0,2020,195,5.018008048,5.884157694,both
Honor,Android,25.5,13.0,8.0,64.0,6.0,7250.0,480.0,2020,272,4.903346996,5.634075062,both
Honor,Android,15.32,13.0,8.0,64.0,3.0,5000.0,185.0,2020,346,4.477791257,4.943355241,4g
Honor,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2020,362,4.466597536,5.076423035,4g
Honor,Android,13.84,8.0,5.0,32.0,2.0,3020.0,144.0,2020,355,3.961574784,4.507116246,4g
Honor,Android,15.77,13.0,8.0,64.0,4.0,3400.0,164.0,2020,202,4.776093698,5.202852175,4g
Honor,Android,15.32,13.0,16.0,128.0,6.0,4000.0,165.0,2020,310,4.803775113,5.297717186,4g
Honor,Android,16.23,13.0,8.0,128.0,6.0,4000.0,176.0,2020,141,4.831747834,5.067456614,4g
Honor,Android,15.47,13.0,8.0,64.0,3.0,3020.0,150.0,2020,228,4.476199805,4.689695141,4g
Honor,Android,15.32,13.0,8.0,64.0,4.0,5000.0,185.0,2020,213,4.609859175,4.781892764,4g
Honor,Android,16.69,13.0,16.0,128.0,8.0,4100.0,206.0,2019,504,5.17252736,6.211262508,both
Honor,Android,15.32,13.0,16.0,64.0,4.0,4000.0,171.5,2019,371,4.797194518,5.391352233,4g
Honor,Android,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,201,4.220095768,4.49635928,4g
Honor,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,354,4.415944853,4.86753445,4g
Honor,Android,15.9,13.0,32.0,128.0,6.0,3750.0,172.0,2019,311,5.180209278,5.515845179,4g
Honor,Android,16.74,13.0,16.0,64.0,4.0,4000.0,206.0,2019,524,4.679349584,5.188167623,4g
Honor,Android,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,388,4.055776969,4.793059547,4g
Honor,Android,25.43,5.0,2.0,32.0,3.0,5100.0,173.0,2019,234,4.53999146,5.523937848,4g
Honor,Android,20.32,8.0,8.0,32.0,3.0,5100.0,173.0,2019,251,4.294560609,5.296114943,4g
Others,Android,20.32,8.0,0.3,16.0,1.0,5680.0,453.6,2013,1048,4.899852698,5.488152294,no
HTC,Android,15.29,13.0,16.0,32.0,3.0,3850.0,170.0,2019,194,4.829033478,5.185652461,4g
HTC,Android,12.88,13.0,13.0,64.0,4.0,3075.0,150.0,2019,385,4.860277413,5.392080896,4g
HTC,Android,15.29,13.0,8.0,32.0,3.0,3300.0,160.0,2019,323,4.388008706,5.009100784,4g
HTC,Android,15.24,13.0,14.5,128.0,6.0,3930.0,180.0,2019,489,4.633951987,6.033589692,4g
HTC,Android,15.29,13.0,16.0,64.0,4.0,3850.0,170.0,2019,392,5.041552397,5.641694282,4g
Huawei,Android,15.37,10.5,16.0,128.0,6.0,4000.0,192.0,2020,204,4.865455368,5.522939824,both
Huawei,Android,15.37,10.5,16.0,64.0,6.0,4000.0,182.0,2020,328,4.971686544,5.388889065,both
